Local time,Open,High,Low,Close,Volume
12.06.2009 16:00:00.000 GMT-0500,1.40150,1.40150,1.40150,1.40150,0
13.06.2009 16:00:00.000 GMT-0500,1.40150,1.40150,1.40150,1.40150,0
14.06.2009 16:00:00.000 GMT-0500,1.39929,1.40002,1.37575,1.37998,239412.81949999995
15.06.2009 16:00:00.000 GMT-0500,1.38005,1.39196,1.37484,1.38355,204821.802
16.06.2009 16:00:00.000 GMT-0500,1.38350,1.39682,1.38067,1.39430,205068.70029999994
17.06.2009 16:00:00.000 GMT-0500,1.39430,1.39897,1.38819,1.38987,203977.69999999992
18.06.2009 16:00:00.000 GMT-0500,1.38991,1.40120,1.38830,1.39380,333598.2989
19.06.2009 16:00:00.000 GMT-0500,1.39380,1.39380,1.39380,1.39380,0
20.06.2009 16:00:00.000 GMT-0500,1.39380,1.39380,1.39380,1.39380,0
21.06.2009 16:00:00.000 GMT-0500,1.39468,1.39550,1.38260,1.38645,542699.6885
22.06.2009 16:00:00.000 GMT-0500,1.38645,1.41080,1.38285,1.40760,617951.2583999999
23.06.2009 16:00:00.000 GMT-0500,1.40770,1.41380,1.38875,1.39285,576432.2008
24.06.2009 16:00:00.000 GMT-0500,1.39280,1.40113,1.38885,1.39847,519230.00539999997
25.06.2009 16:00:00.000 GMT-0500,1.39844,1.41180,1.39803,1.40530,484440.90209999995
26.06.2009 16:00:00.000 GMT-0500,1.40530,1.40530,1.40530,1.40530,0
27.06.2009 16:00:00.000 GMT-0500,1.40530,1.40530,1.40530,1.40530,0
28.06.2009 16:00:00.000 GMT-0500,1.40609,1.40765,1.40449,1.40692,445214.54949999996
29.06.2009 16:00:00.000 GMT-0500,1.40692,1.40988,1.40679,1.40977,591333.5393
30.06.2009 16:00:00.000 GMT-0500,1.40977,1.41993,1.39978,1.41394,88792.40009999998
01.07.2009 16:00:00.000 GMT-0500,1.41381,1.41545,1.39868,1.40009,81159.10020000002
02.07.2009 16:00:00.000 GMT-0500,1.40004,1.40282,1.39256,1.39792,81157.1004
03.07.2009 16:00:00.000 GMT-0500,1.39792,1.39792,1.39792,1.39792,0
04.07.2009 16:00:00.000 GMT-0500,1.39792,1.39792,1.39792,1.39792,0
05.07.2009 16:00:00.000 GMT-0500,1.39591,1.39977,1.38749,1.39814,80810.6002
06.07.2009 16:00:00.000 GMT-0500,1.39815,1.40497,1.38996,1.39219,81414.8998
07.07.2009 16:00:00.000 GMT-0500,1.39231,1.39391,1.38294,1.38816,81702.5997
08.07.2009 16:00:00.000 GMT-0500,1.38843,1.40722,1.38548,1.40155,80922.9
09.07.2009 16:00:00.000 GMT-0500,1.40148,1.40285,1.38734,1.39351,80744.6994
10.07.2009 16:00:00.000 GMT-0500,1.39351,1.39351,1.39351,1.39351,0
11.07.2009 16:00:00.000 GMT-0500,1.39351,1.39351,1.39351,1.39351,0
12.07.2009 16:00:00.000 GMT-0500,1.39364,1.40003,1.38942,1.39761,81241.09979999998
13.07.2009 16:00:00.000 GMT-0500,1.39747,1.40136,1.39084,1.39652,80333.59999999998
14.07.2009 16:00:00.000 GMT-0500,1.39647,1.41335,1.39599,1.41047,80850.99960000002
15.07.2009 16:00:00.000 GMT-0500,1.41057,1.41648,1.40536,1.41466,80867.30010000001
16.07.2009 16:00:00.000 GMT-0500,1.41442,1.41496,1.40599,1.40986,81145.2995
17.07.2009 16:00:00.000 GMT-0500,1.40986,1.40986,1.40986,1.40986,0
18.07.2009 16:00:00.000 GMT-0500,1.40986,1.40986,1.40986,1.40986,0
19.07.2009 16:00:00.000 GMT-0500,1.40953,1.42494,1.40904,1.42294,80229.0006
20.07.2009 16:00:00.000 GMT-0500,1.42293,1.42760,1.41601,1.42234,81284.40009999998
21.07.2009 16:00:00.000 GMT-0500,1.42270,1.42562,1.41529,1.42174,81551.4
22.07.2009 16:00:00.000 GMT-0500,1.42159,1.42908,1.41181,1.41403,81080.6002
23.07.2009 16:00:00.000 GMT-0500,1.41411,1.42529,1.41337,1.42006,81385.99939999999
24.07.2009 16:00:00.000 GMT-0500,1.42006,1.42006,1.42006,1.42006,0
25.07.2009 16:00:00.000 GMT-0500,1.42006,1.42006,1.42006,1.42006,0
26.07.2009 16:00:00.000 GMT-0500,1.42057,1.42967,1.41692,1.42298,80625.5002
27.07.2009 16:00:00.000 GMT-0500,1.42281,1.43028,1.41277,1.41663,80173.2998
28.07.2009 16:00:00.000 GMT-0500,1.41646,1.41949,1.40043,1.40483,80556.39929999999
29.07.2009 16:00:00.000 GMT-0500,1.40448,1.40940,1.40056,1.40741,82694.1005
30.07.2009 16:00:00.000 GMT-0500,1.40736,1.42796,1.40613,1.42555,81140.4004
31.07.2009 16:00:00.000 GMT-0500,1.42555,1.42555,1.42540,1.42540,0
01.08.2009 16:00:00.000 GMT-0500,1.42540,1.42540,1.42540,1.42540,0
02.08.2009 16:00:00.000 GMT-0500,1.42535,1.44444,1.42025,1.44112,81119.9999
03.08.2009 16:00:00.000 GMT-0500,1.44097,1.44295,1.43645,1.44065,81214.80049999998
04.08.2009 16:00:00.000 GMT-0500,1.44055,1.44469,1.43540,1.44014,80982.70010000002
05.08.2009 16:00:00.000 GMT-0500,1.44031,1.44284,1.43261,1.43434,81790.90059999998
06.08.2009 16:00:00.000 GMT-0500,1.43440,1.44111,1.41533,1.41804,82119.7
07.08.2009 16:00:00.000 GMT-0500,1.41804,1.41804,1.41804,1.41804,0
08.08.2009 16:00:00.000 GMT-0500,1.41804,1.41804,1.41804,1.41804,0
09.08.2009 16:00:00.000 GMT-0500,1.41828,1.42177,1.41014,1.41390,81984.5002
10.08.2009 16:00:00.000 GMT-0500,1.41374,1.41849,1.41066,1.41457,82414.40020000002
11.08.2009 16:00:00.000 GMT-0500,1.41483,1.42463,1.40827,1.41860,80506.0005
12.08.2009 16:00:00.000 GMT-0500,1.41839,1.43264,1.41779,1.42903,82561.50009999999
13.08.2009 16:00:00.000 GMT-0500,1.42867,1.43058,1.41561,1.42011,81209.60000000002
14.08.2009 16:00:00.000 GMT-0500,1.42011,1.42011,1.42011,1.42011,0
15.08.2009 16:00:00.000 GMT-0500,1.42011,1.42011,1.42011,1.42011,0
16.08.2009 16:00:00.000 GMT-0500,1.41972,1.41972,1.40440,1.40821,81141.29980000001
17.08.2009 16:00:00.000 GMT-0500,1.40796,1.41529,1.40632,1.41340,82232.39950000001
18.08.2009 16:00:00.000 GMT-0500,1.41346,1.42656,1.40804,1.42206,70828.6994
19.08.2009 16:00:00.000 GMT-0500,1.42224,1.42738,1.41999,1.42509,80831.80020000001
20.08.2009 16:00:00.000 GMT-0500,1.42519,1.43776,1.42043,1.43247,82207.6006
21.08.2009 16:00:00.000 GMT-0500,1.43247,1.43247,1.43247,1.43247,0
22.08.2009 16:00:00.000 GMT-0500,1.43247,1.43247,1.43247,1.43247,0
23.08.2009 16:00:00.000 GMT-0500,1.43253,1.43572,1.42775,1.43014,82102.6002
24.08.2009 16:00:00.000 GMT-0500,1.43015,1.43609,1.42496,1.42953,81204.10050000002
25.08.2009 16:00:00.000 GMT-0500,1.42953,1.43508,1.42026,1.42541,82242.8999
26.08.2009 16:00:00.000 GMT-0500,1.42525,1.44054,1.42157,1.43389,81934.0999
27.08.2009 16:00:00.000 GMT-0500,1.43388,1.43884,1.42790,1.43013,82040.80040000001
28.08.2009 16:00:00.000 GMT-0500,1.43013,1.43013,1.43013,1.43013,0
29.08.2009 16:00:00.000 GMT-0500,1.43013,1.43013,1.43013,1.43013,0
30.08.2009 16:00:00.000 GMT-0500,1.43009,1.43685,1.42531,1.43315,81865.7993
